RATING,TITLE,CREDIT,BOXOFFICE,YEAR
77,Danny Collins,Danny Collins,4.3,2015
74,Despicable Me 2,Eduardo,368.1,2013
37,Stand Up Guys,Val,3.4,2013
3,Jack and Jill,Himself,74.2,2011
18,Righteous Kill,Rooster,40,2008
5,88 Minutes,Jack Gramm,17,2008
70,Ocean's Thirteen,Willie Banks,78.9,2007
22,Two for the Money,Walter Abrams,22.9,2005
71,William Shakespeare's The Merchant of Venice,Shylock,3.4,2004
6,Gigli,Starkman,5.7,2003
43,The Recruit,Walter Burke,52.8,2003
51,Simone,Viktor Taransky,9.5,2002
92,Insomnia,Det. Will Dormer,67.4,2002
