enunciado,tema
A instituição contou com biblioteca virtual ou conferiu acesso a obras disponíveis em acervos virtuais.,Biblioteca virtual
"Os professores utilizaram tecnologias da informação e comunicação (TICs) como estratégia de ensino (projetor multimídia, laboratório de informática, ambiente virtual de aprendizagem).", "TICs no ensino"
"A instituição dispôs de quantidade suficiente de funcionários para o apoio administrativo e acadêmico.", "Quant. de Funcionários"
"A instituição dispôs de refeitório, cantina e banheiros em condições adequadas que atenderam as necessidades dos seus usuários.", "Refeitório, cantina e banheiros"
No curso você teve oportunidade de aprender a trabalhar em equipe., Trabalhar em equipe
"Foram oferecidas oportunidades para os estudantes participarem de programas, projetos ou atividades de extensão universitária.", Oport. de extensão
"Os estudantes participaram de avaliações periódicas do curso (disciplinas, atuação dos professores, infraestrutura).", Particip. em avaliações do curso
A biblioteca dispôs das referências bibliográficas que os estudantes necessitaram., Biblioteca
O curso disponibilizou monitores ou tutores para auxiliar os estudantes., Monitores
"As atividades acadêmicas desenvolvidas dentro e fora da sala de aula possibilitaram reflexão, convivência e respeito à diversidade.", Diversidade
O curso ofereceu condições para os estudantes participarem de eventos internos e/ou externos à instituição., Eventos
As condições de infraestrutura das salas de aula foram adequadas., Salas de aula
Foram oferecidas oportunidades para os estudantes participarem de projetos de iniciação científica e de atividades que estimularam a investigação acadêmica., Iniciação científica
O curso possibilitou aumentar sua capacidade de reflexão e argumentação., Reflexão e argumentação
As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional, TCC
Os ambientes e equipamentos destinados às aulas práticas foram adequados ao curso., Ambiente p/ aulas práticas
Os equipamentos e materiais disponíveis para as aulas práticas foram adequados para a quantidade de estudantes., Equipamentos suficientes
A coordenação do curso esteve disponível para orientação acadêmica dos estudantes., Coordenação disponível
Os conteúdos abordados nas disciplinas do curso favoreceram sua atuação em estágios ou em atividades de iniciação profissional., Conteúdo útil p/ prática
"As disciplinas cursadas contribuíram para sua formação integral, como cidadão e profissional.", Formação cidadã e profissional
As avaliações da aprendizagem realizadas durante o curso foram compatíveis com os conteúdos ou temas trabalhados pelos professores., Avaliações
O curso exigiu de você organização e dedicação frequente aos estudos., Exigiu org. e dedicação
O curso propiciou acesso a conhecimentos atualizados e/ou contemporâneos em sua área de formação., Conteúdo atualizado
"A instituição promoveu atividades de cultura, de lazer e de interação social.", Atividades de cultura lazer
O estágio supervisionado proporcionou experiências diversificadas para a sua formação., Estágio
As referências bibliográficas indicadas pelos professores nos planos de ensino contribuíram para seus estudos e aprendizagens., Bibliografia
Os professores demonstraram domínio dos conteúdos abordados nas disciplinas., Profs dominam assunto
"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.", Pensamento crítico
O curso contribuiu para você ampliar sua capacidade de comunicação nas formas oral e escrita., Comunicação oral e escrita
Os planos de ensino apresentados pelos professores contribuíram para o desenvolvimento das atividades acadêmicas e para seus estudos., Planos de ensino
O curso favoreceu a articulação do conhecimento teórico com atividades práticas., Teoria e prática
Os professores apresentaram disponibilidade para atender os estudantes fora do horário das aulas., Disponibilidade dos profs
O curso contribuiu para o desenvolvimento da sua capacidade de aprender e atualizar-se permanentemente., Capacidade de se atualizar
A instituição ofereceu oportunidades para os estudantes atuarem como representantes em órgãos colegiados., Participação dos alunos
As metodologias de ensino utilizadas no curso desafiaram você a aprofundar conhecimentos e desenvolver competências reflexivas e críticas., Metodologias de ensino
Foram oferecidas oportunidades para os estudantes superarem dificuldades relacionadas ao processo de formação., Ajuda com dificuldades
O curso contribuiu para o desenvolvimento da sua consciência ética para o exercício profissional., Consciência ética
"As atividades práticas foram suficientes para relacionar os conteúdos do curso com a prática, contribuindo para sua formação profissional.", Atividades práticas suficientes
O curso propiciou experiências de aprendizagem inovadoras., Aprendizagem inovadora
As relações professor-aluno ao longo do curso estimularam você a estudar e aprender., Relações professor-aluno
Foram oferecidas oportunidades para os estudantes realizarem intercâmbios e/ou estágios no país., Oport. Intercâmbio no país
Foram oferecidas oportunidades para os estudantes realizarem intercâmbios e/ou estágios fora do país., Oport. Intercâmbio exterior
